Method,n,k,elapsed
BruteForce,1024,8,17800
BruteForceIdiomatic,1024,8,19200
Heap,1024,8,99400
BST,1024,8,209400
Linear,1024,8,31500
BruteForce,1024,16,33300
BruteForceIdiomatic,1024,16,30400
Heap,1024,16,70200
BST,1024,16,176500
Linear,1024,16,32600
BruteForce,1024,32,62000
BruteForceIdiomatic,1024,32,64800
Heap,1024,32,37800
BST,1024,32,236300
Linear,1024,32,32100
BruteForce,1024,64,60900
BruteForceIdiomatic,1024,64,71500
Heap,1024,64,32800
BST,1024,64,232000
Linear,1024,64,23100
BruteForce,1024,128,101100
BruteForceIdiomatic,1024,128,101400
Heap,1024,128,30400
BST,1024,128,280800
Linear,1024,128,33100
BruteForce,1024,256,139800
BruteForceIdiomatic,1024,256,136200
Heap,1024,256,25900
BST,1024,256,300600
Linear,1024,256,35000
BruteForce,1024,512,164100
BruteForceIdiomatic,1024,512,163200
Heap,1024,512,27300
BST,1024,512,236200
Linear,1024,512,22100
BruteForce,1024,1024,900
BruteForceIdiomatic,1024,1024,900
Heap,1024,1024,28600
BST,1024,1024,167000
Linear,1024,1024,30700
BruteForce,2048,8,26300
BruteForceIdiomatic,2048,8,28400
Heap,2048,8,143600
BST,2048,8,226400
Linear,2048,8,47300
BruteForce,2048,16,40100
BruteForceIdiomatic,2048,16,42600
Heap,2048,16,105000
BST,2048,16,413700
Linear,2048,16,69300
BruteForce,2048,32,87800
BruteForceIdiomatic,2048,32,93600
Heap,2048,32,118400
BST,2048,32,445700
Linear,2048,32,70000
BruteForce,2048,64,143400
BruteForceIdiomatic,2048,64,139600
Heap,2048,64,71000
BST,2048,64,450600
Linear,2048,64,70000
BruteForce,2048,128,219200
BruteForceIdiomatic,2048,128,217400
Heap,2048,128,60000
BST,2048,128,509900
Linear,2048,128,69100
BruteForce,2048,256,328300
BruteForceIdiomatic,2048,256,323300
Heap,2048,256,57600
BST,2048,256,633100
Linear,2048,256,69400
BruteForce,2048,512,488700
BruteForceIdiomatic,2048,512,485400
Heap,2048,512,56000
BST,2048,512,643400
Linear,2048,512,49400
BruteForce,2048,1024,669800
BruteForceIdiomatic,2048,1024,598000
Heap,2048,1024,54000
BST,2048,1024,518900
Linear,2048,1024,49800
BruteForce,4096,8,58800
BruteForceIdiomatic,4096,8,59100
Heap,4096,8,335200
BST,4096,8,451800
Linear,4096,8,98800
BruteForce,4096,16,89800
BruteForceIdiomatic,4096,16,87900
Heap,4096,16,283300
BST,4096,16,744600
Linear,4096,16,140700
BruteForce,4096,32,180200
BruteForceIdiomatic,4096,32,170500
Heap,4096,32,181300
BST,4096,32,835800
Linear,4096,32,139800
BruteForce,4096,64,292900
BruteForceIdiomatic,4096,64,288600
Heap,4096,64,144200
BST,4096,64,896500
Linear,4096,64,101500
BruteForce,4096,128,470600
BruteForceIdiomatic,4096,128,462800
Heap,4096,128,127700
BST,4096,128,1034500
Linear,4096,128,101900
BruteForce,4096,256,723500
BruteForceIdiomatic,4096,256,721600
Heap,4096,256,122100
BST,4096,256,1247900
Linear,4096,256,101700
BruteForce,4096,512,1148200
BruteForceIdiomatic,4096,512,1147500
Heap,4096,512,116200
BST,4096,512,1253700
Linear,4096,512,140400
BruteForce,4096,1024,1807400
BruteForceIdiomatic,4096,1024,1809700
Heap,4096,1024,114900
BST,4096,1024,1253100
Linear,4096,1024,100000
BruteForce,8192,8,124700
BruteForceIdiomatic,8192,8,123300
Heap,8192,8,804600
BST,8192,8,904500
Linear,8192,8,201800
BruteForce,8192,16,183400
BruteForceIdiomatic,8192,16,177700
Heap,8192,16,781300
BST,8192,16,1404400
Linear,8192,16,226700
BruteForce,8192,32,367500
BruteForceIdiomatic,8192,32,338600
Heap,8192,32,518900
BST,8192,32,1713100
Linear,8192,32,203100
BruteForce,8192,64,606000
BruteForceIdiomatic,8192,64,594800
Heap,8192,64,486000
BST,8192,64,1809500
Linear,8192,64,201200
BruteForce,8192,128,934000
BruteForceIdiomatic,8192,128,946400
Heap,8192,128,391400
BST,8192,128,2383500
Linear,8192,128,201900
BruteForce,8192,256,1474300
BruteForceIdiomatic,8192,256,1502500
Heap,8192,256,360900
BST,8192,256,2526800
Linear,8192,256,202500
BruteForce,8192,512,2480500
BruteForceIdiomatic,8192,512,2469600
Heap,8192,512,370800
BST,8192,512,2740100
Linear,8192,512,201900
BruteForce,8192,1024,4170300
BruteForceIdiomatic,8192,1024,4163500
Heap,8192,1024,348300
BST,8192,1024,2714000
Linear,8192,1024,202100
BruteForce,16384,8,251200
BruteForceIdiomatic,16384,8,265000
Heap,16384,8,1768600
BST,16384,8,1817300
Linear,16384,8,402000
BruteForce,16384,16,438700
BruteForceIdiomatic,16384,16,424500
Heap,16384,16,1487900
BST,16384,16,2716100
Linear,16384,16,442400
BruteForce,16384,32,759800
BruteForceIdiomatic,16384,32,707200
Heap,16384,32,1105400
BST,16384,32,3397600
Linear,16384,32,416500
BruteForce,16384,64,1355500
BruteForceIdiomatic,16384,64,1225300
Heap,16384,64,777900
BST,16384,64,3678700
Linear,16384,64,416700
BruteForce,16384,128,1889100
BruteForceIdiomatic,16384,128,1928200
Heap,16384,128,1100800
BST,16384,128,4282600
Linear,16384,128,413200
BruteForce,16384,256,3057400
BruteForceIdiomatic,16384,256,3041700
Heap,16384,256,764400
BST,16384,256,4698900
Linear,16384,256,412100
BruteForce,16384,512,5179400
BruteForceIdiomatic,16384,512,5143100
Heap,16384,512,740200
BST,16384,512,5092900
Linear,16384,512,402600
BruteForce,16384,1024,9027800
BruteForceIdiomatic,16384,1024,9045300
Heap,16384,1024,728000
BST,16384,1024,5701100
Linear,16384,1024,398600
BruteForce,32768,8,598200
BruteForceIdiomatic,32768,8,498600
Heap,32768,8,3584900
BST,32768,8,3603800
Linear,32768,8,811100
BruteForce,32768,16,819800
BruteForceIdiomatic,32768,16,741200
Heap,32768,16,3285900
BST,32768,16,5472700
Linear,32768,16,809700
BruteForce,32768,32,1523900
BruteForceIdiomatic,32768,32,1410200
Heap,32768,32,2357600
BST,32768,32,6867600
Linear,32768,32,930700
BruteForce,32768,64,2412700
BruteForceIdiomatic,32768,64,2405400
Heap,32768,64,1975200
BST,32768,64,7226500
Linear,32768,64,804900
BruteForce,32768,128,3786300
BruteForceIdiomatic,32768,128,3819600
Heap,32768,128,1722100
BST,32768,128,8514200
Linear,32768,128,914300
BruteForce,32768,256,6051400
BruteForceIdiomatic,32768,256,6034100
Heap,32768,256,1130900
BST,32768,256,9457900
Linear,32768,256,798600
BruteForce,32768,512,10474400
BruteForceIdiomatic,32768,512,10426100
Heap,32768,512,1123600
BST,32768,512,10267300
Linear,32768,512,800500
BruteForce,32768,1024,18718300
BruteForceIdiomatic,32768,1024,18575300
Heap,32768,1024,1123100
BST,32768,1024,11425000
Linear,32768,1024,801900
BruteForce,65536,8,1019900
BruteForceIdiomatic,65536,8,1052900
Heap,65536,8,8049800
BST,65536,8,7373900
Linear,65536,8,1735700
BruteForce,65536,16,1548200
BruteForceIdiomatic,65536,16,1495400
Heap,65536,16,6359300
BST,65536,16,11144400
Linear,65536,16,1716200
BruteForce,65536,32,3124700
BruteForceIdiomatic,65536,32,2947100
Heap,65536,32,4790400
BST,65536,32,13764400
Linear,65536,32,1711200
BruteForce,65536,64,4977400
BruteForceIdiomatic,65536,64,4747700
Heap,65536,64,4151700
BST,65536,64,14726800
Linear,65536,64,1707200
BruteForce,65536,128,7708000
BruteForceIdiomatic,65536,128,7656800
Heap,65536,128,3404200
BST,65536,128,16932100
Linear,65536,128,1755600
BruteForce,65536,256,12288700
BruteForceIdiomatic,65536,256,12175900
Heap,65536,256,3296700
BST,65536,256,18872600
Linear,65536,256,1694900
BruteForce,65536,512,21010500
BruteForceIdiomatic,65536,512,21100100
Heap,65536,512,2973100
BST,65536,512,20638100
Linear,65536,512,1695000
BruteForce,65536,1024,38219200
BruteForceIdiomatic,65536,1024,37835200
Heap,65536,1024,3038400
BST,65536,1024,23444900
Linear,65536,1024,1725200
BruteForce,131072,8,1919000
BruteForceIdiomatic,131072,8,2019800
Heap,131072,8,16721100
BST,131072,8,15212900
Linear,131072,8,3690300
BruteForce,131072,16,3010300
BruteForceIdiomatic,131072,16,2905500
Heap,131072,16,15635100
BST,131072,16,22097300
Linear,131072,16,4056600
BruteForce,131072,32,6138300
BruteForceIdiomatic,131072,32,5764600
Heap,131072,32,11918000
BST,131072,32,32509800
Linear,131072,32,4722600
BruteForce,131072,64,10782800
BruteForceIdiomatic,131072,64,9739600
Heap,131072,64,10509000
BST,131072,64,32210700
Linear,131072,64,3775700
BruteForce,131072,128,15785100
BruteForceIdiomatic,131072,128,15562000
Heap,131072,128,7660700
BST,131072,128,33821300
Linear,131072,128,5872100
BruteForce,131072,256,42030000
BruteForceIdiomatic,131072,256,24346400
Heap,131072,256,6793700
BST,131072,256,39991200
Linear,131072,256,3818400
BruteForce,131072,512,55532400
BruteForceIdiomatic,131072,512,42161500
Heap,131072,512,6363100
BST,131072,512,43345700
Linear,131072,512,3917000
BruteForce,131072,1024,76943200
BruteForceIdiomatic,131072,1024,87061600
Heap,131072,1024,6144500
BST,131072,1024,47234100
Linear,131072,1024,4013200
